text,input_language,output_language
"आलु खेतीमा यसको प्रयोग हुन्छ, किनकि यसले माटोमा हुने कीराहरूलाई मार्छ।",nepali,english
It is used in potato farming because it kills insects in the soil.,english,maithili
"आलू खेतीमे एकर प्रयोग होइत छै, किएकी ई माटिक कीड़ा सभके मारि दैत छै।",maithili,english
Cutting grape bunches is the most important step in the winemaking process.,english,nepali
अंगुरको झुप्पा काट्नु वाइन बनाउने प्रक्रियाको सबैभन्दा महत्त्वपूर्ण चरण हो।,nepali,english
Cutting grape bunches is the most important step in the winemaking process.,english,maithili
अंगूरक गुच्छा काटब वाइन बनावेके प्रक्रियाक सबसँ महत्वपूर्ण चरण होइत छै।,maithili,english
A bee is a winged insect that plays an important role in pollination.,english,nepali
"माहुरी पखेटा भएको किरा हो, जसको परागकणमा महत्त्वपूर्ण भूमिका हुन्छ।",nepali,english
A bee is a winged insect that plays an important role in pollination.,english,maithili
"माहुरी पंख वाला कीड़ा होइत छै, जकर परागकणमे महत्वपूर्ण भूमिका होइत छै।",maithili,english
"The highest fish production in the country is in Andhra Pradesh, West Bengal, and Gujarat.",english,nepali
"देशमा सबैभन्दा धेरै माछा उत्पादन आन्ध्र प्रदेश, पश्चिम बंगाल र गुजरातमा हुन्छ।",nepali,english
"The highest fish production in the country is in Andhra Pradesh, West Bengal, and Gujarat.",english,maithili
"देशमे सबसँ बेसी मछली उत्पादन आंध्र प्रदेश, पश्चिम बंगाल आ गुजरातमे होइत छै।",maithili,english
"If a sheep gets sick, it should be treated by a doctor immediately.",english,nepali
बिरामी भएको अवस्थामा भेडालाई तुरुन्तै डाक्टरबाट उपचार गराउनुपर्छ।,nepali,english
"If a sheep gets sick, it should be treated by a doctor immediately.",english,maithili
बीमार भेला पर भेड़ाके तुरंत डॉक्टरसँ इलाज करावेके चाही।,maithili,english
Water pipes are laid in the field to irrigate the land.,english,nepali
जमिन सिँचाइ गर्न खेतमा पानीको पाइप बिछ्याइन्छ।,nepali,english
Water pipes are laid in the field to irrigate the land.,english,maithili
जमीन सिंचाइ करेके लेल खेतमे पानीक पाइप बिछाओल जाइत छै।,maithili,english
Using chemical fertilizers on crops affects human health.,english,nepali
रासायनिक मलको बालीमा प्रयोग गर्नाले मानव स्वास्थ्यमा असर पर्छ।,nepali,english
Using chemical fertilizers on crops affects human health.,english,maithili
रासायनिक खादके फसलमे प्रयोग करेलासँ मानव स्वास्थ्य पर असर पड़ैत छै।,maithili,english
His father has gone to the market to buy vegetables.,english,nepali
उसको बुबा तरकारी किन्न बजार गएका छन्।,nepali,english
His father has gone to the market to buy vegetables.,english,maithili
ओकर बाबूजी तरकारी किनए लेल बाजार गेल छथि।,maithili,english
The nutmeg tree is always green.,english,nepali
जायफलको रूख सधैं हरियो हुन्छ।,nepali,english
The nutmeg tree is always green.,english,maithili
जायफलक गाछ हमेशा हरियर रहैत छै।,maithili,english
Cauliflower is a type of vegetable.,english,nepali
काउली एक प्रकारको तरकारी हो।,nepali,english
Cauliflower is a type of vegetable.,english,maithili
काउली एक प्रकारक तरकारी होइत छै।,maithili,english
This card is given every three years so that we know about the changes in the soil.,english,nepali
"यो कार्ड हरेक तीन वर्षमा दिइन्छ, ताकि माटोमा भएको परिवर्तनको बारेमा थाहा होस्।",nepali,english
This card is given every three years so that we know about the changes in the soil.,english,maithili
"ई कार्ड हर तीन सालमे देल जाइत छै, ताकि माटिक बदलावके बारेमे पता चलि सकए।",maithili,english
Antyodaya Anna Yojana was started to reduce hunger among poor people.,english,nepali
अन्त्योदय अन्न योजना गरिब मानिसहरूको भोकमरी कम गर्नको लागि सुरु गरिएको थियो।,nepali,english
Antyodaya Anna Yojana was started to reduce hunger among poor people.,english,maithili
अंत्योदय अन्न योजना गरीब लोगक भूखमरी कम करेके लेल शुरू कएल गेल छल।,maithili,english
We should use groundwater very wisely.,english,nepali
हामीले भूमिगत पानीलाई धेरै बुद्धिमानीपूर्वक प्रयोग गर्नुपर्छ।,nepali,english
We should use groundwater very wisely.,english,maithili
हमरा सब के भूमिगत पानीके बहुत बुद्धिमानीसँ प्रयोग करेके चाही।,maithili,english
Auluwa is used during occasions like fasting.,english,nepali
अउलुआको प्रयोग व्रत आदिको अवसरमा गरिन्छ।,nepali,english
Auluwa is used during occasions like fasting.,english,maithili
अउलुआ के प्रयोग बरत आउर तिहार में कयल जाइत अछि।,maithili,english
The shepherd took all his sheep to the field for food.,english,nepali
गोठालाले आफ्नो सबै भेडाहरूलाई खानाको लागि खेतमा लगे।,nepali,english
The shepherd took all his sheep to the field for food.,english,maithili
चरवाहा अपना सबटा भेंड़ा के खाना के लेल खेत में ल गेल।,maithili,english
"The main sources of paper are trees, dung, grass and water.",english,nepali
"कागजको प्रमुख स्रोत रूख, गोबर, घाँस र पानी हो।",nepali,english
"The main sources of paper are trees, dung, grass and water.",english,maithili
"कागज के मुख्य स्रोत गाछ, गोबर, घास आउर पानी होइत छै।",maithili,english
The farmer got investor loans very easily.,english,nepali
किसानलाई लगानीकर्ता ऋण एकदमै सजिलै प्राप्त भयो।,nepali,english
The farmer got investor loans very easily.,english,maithili
किसान के निवेशक ऋण बहुत आसानी से मिल गेल।,maithili,english
Growing marijuana for personal use is illegal.,english,nepali
व्यक्तिगत उपयोगको लागि भाङ खेती अवैध छ।,nepali,english
Growing marijuana for personal use is illegal.,english,maithili
व्यक्तिगत उपयोग के लेल भांग के खेती अवैध अछि।,maithili,english
"A mower is an agricultural tool, which is used to cut grass.",english,nepali
"मोवर एउटा कृषि औजार हो, जुन घाँस काट्नको लागि प्रयोग गरिन्छ।",nepali,english
"A mower is an agricultural tool, which is used to cut grass.",english,maithili
"मोवर एकटा कृषि औजार छै, जे घास काटे के लेल इस्तेमाल होइत छै।",maithili,english
Green manure also helps in controlling pests.,english,nepali
हरियो मलले कीरा नियन्त्रणमा पनि मद्दत गर्छ।,nepali,english
Green manure also helps in controlling pests.,english,maithili
हरियर खाद से कीड़ा के नियंत्रण में भी मदद मिलैत छै।,maithili,english
"A plow is an agricultural tool, which is used to plow fields.",english,nepali
"हर एउटा कृषि उपकरण हो, जसले खेत जोत्न काम लाग्छ।",nepali,english
"A plow is an agricultural tool, which is used to plow fields.",english,maithili
"हर एकटा कृषि उपकरण छै, जे खेत जोते के काम में आवैत छै।",maithili,english
Fisheries and its hunting are a major source of employment.,english,nepali
मत्स्य पालन र यसको शिकार रोजगारीको एउटा प्रमुख स्रोत हो।,nepali,english
Fisheries and its hunting are a major source of employment.,english,maithili
मछली पालन आउर एकर शिकार रोजगार के एकटा मुख्य स्रोत छै।,maithili,english
A sheep produces about thirty liters of methane gas per day.,english,nepali
एउटा भेडाले प्रतिदिन लगभग तीस लिटर मिथेन ग्यास उत्पादन गर्छ।,nepali,english
A sheep produces about thirty liters of methane gas per day.,english,maithili
एकटा भेंड़ा प्रतिदिन लगभग तीस लीटर मीथेन गैस पैदा करैत छै।,maithili,english
Farmer credit card facility has been provided to provide financial assistance to the farmer.,english,nepali
किसानलाई वित्तीय मद्दत पुर्‍याउन किसान क्रेडिट कार्डको सुविधा दिइएको छ।,nepali,english
Farmer credit card facility has been provided to provide financial assistance to the farmer.,english,maithili
किसान के वित्तीय मदद पहुचावे के लेल किसान क्रेडिट कार्ड के सुविधा देल गेल छै।,maithili,english
Milk pipelines should be checked from time to time.,english,nepali
दूधको पाइपलाइन समय समयमा जाँच गरिरहनुपर्छ।,nepali,english
Milk pipelines should be checked from time to time.,english,maithili
दूध के पाइपलाइन समय समय पर जाँच करत रहे के चाही।,maithili,english
Straw is collected as thatch for the whole year.,english,nepali
पराललाई वर्षभरिको लागि टालको रूपमा सङ्ग्रह गरिन्छ।,nepali,english
Straw is collected as thatch for the whole year.,english,maithili
पराल के साल भर के लेल टाल के रूप में जमा कयल जाइत छै।,maithili,english
Different breeds of goats can be found in different regions of India.,english,nepali
भारतको विभिन्न क्षेत्रमा अलग अलग जातका बाख्रा देख्न पाइन्छ।,nepali,english
Different breeds of goats can be found in different regions of India.,english,maithili
भारत के अलग-अलग क्षेत्र में अलग-अलग जात के बकरी देखे के मिलैत छै।,maithili,english
The farmer needed equipment for crop processing.,english,nepali
बाली प्रशोधनको लागि किसानलाई उपकरणको आवश्यकता थियो।,nepali,english
The farmer needed equipment for crop processing.,english,maithili
बाली के प्रोसेसिंग के लेल किसान के उपकरण के जरूरत छल।,maithili,english
"If production is higher than the cost price, the dividend is higher.",english,nepali
लागत मूल्यभन्दा बढी उत्पादन भएमा लाभांश अधिक हुन्छ।,nepali,english
"If production is higher than the cost price, the dividend is higher.",english,maithili
लागत मूल्य से ज्यादा उत्पादन होइ तो लाभांश ज्यादा होइत छै।,maithili,english
Nestle Institute is a famous coffee institute.,english,nepali
नेस्ले संस्थान कफीको एउटा प्रसिद्ध संस्थान हो।,nepali,english
Nestle Institute is a famous coffee institute.,english,maithili
नेस्ले संस्थान कॉफी के एकटा प्रसिद्ध संस्थान छै।,maithili,english
This machine is used in areas where there is less ridges and dust.,english,nepali
यो मेसिनको उपयोग त्यस्तो क्षेत्रमा गरिन्छ जहाँ आली र धूलो कम हुन्छ।,nepali,english
This machine is used in areas where there is less ridges and dust.,english,maithili
ई मशीन के उपयोग ओहि क्षेत्र में कयल जाइत छै जतय आली आउर धूल कम होइत छै।,maithili,english
Forestry is an important industrial sector in India.,english,nepali
वानिकी भारतको एउटा महत्त्वपूर्ण उद्योग क्षेत्र हो।,nepali,english
Forestry is an important industrial sector in India.,english,maithili
वानिकी भारत के एकटा महत्वपूर्ण उद्योग क्षेत्र छै।,maithili,english
Various dairy products were traded in the city.,english,nepali
शहरमा विभिन्न दुग्ध उत्पादनको व्यापार गरियो।,nepali,english
Various dairy products were traded in the city.,english,maithili
शहर में अलग-अलग दूध के उत्पाद के व्यापार कयल गेल।,maithili,english
You can get a lot of work done in a short time by using this machine.,english,nepali
यो मेसिन चलाएर थोरै समयमा धेरै काम सकिन्छ।,nepali,english
You can get a lot of work done in a short time by using this machine.,english,maithili
ई मशीन चला के कम समय में बहुत काम खत्म कयल जा सकैत छै।,maithili,english
He got dehydrated because he drank too much coffee.,english,nepali
धेरै कफी खाएकोले उहाँलाई डिहाइड्रेसन भयो।,nepali,english
He got dehydrated because he drank too much coffee.,english,maithili
बहुत कॉफी पीला के कारण ओकरा डिहाइड्रेशन भ गेल।,maithili,english
The weather department gave the government news of an emergency weather change.,english,nepali
मौसम विभागले आपतकालीन मौसम परिवर्तनको खबर सरकारलाई दियो।,nepali,english
The weather department gave the government news of an emergency weather change.,english,maithili
मौसम विभाग आपातकालीन मौसम परिवर्तन के खबर सरकार के देलक।,maithili,english
"In this greenhouse machine, the flow of air is artificially controlled.",english,nepali
यो ओसौनी मेसिनमा कृत्रिम तरिकाले हावाको प्रवाहलाई नियन्त्रण गरिन्छ।,nepali,english
"In this greenhouse machine, the flow of air is artificially controlled.",english,maithili
ई ओसौनी मशीन में कृत्रिम तरीका से हवा के प्रवाह के नियंत्रित कयल जाइत छै।,maithili,english
JCBs are very useful in the mining sector.,english,nepali
खनन क्षेत्रमा जेसिबीको उपयोगिता धेरै हुन्छ।,nepali,english
JCBs are very useful in the mining sector.,english,maithili
खनन क्षेत्र में जेसीबी के उपयोगिता बहुत होइत छै।,maithili,english
Both scissors and trimmers are used to cut sheep's wool.,english,nepali
भेडाको ऊन काट्न कैंची र ट्रीमर दुवै प्रयोग गरिन्छ।,nepali,english
Both scissors and trimmers are used to cut sheep's wool.,english,maithili
भेंड़ा के ऊन काटे के लेल कैंची आउर ट्रीमर दुनु के इस्तेमाल कयल जाइत छै।,maithili,english
This type of irrigation system is used in greenhouses for plants planted in pots.,english,nepali
यस्तो खालको सिंचाई प्रणाली ग्रीनहाउसमा गमलामा लगाएको बोटमा प्रयोग गरिन्छ।,nepali,english
This type of irrigation system is used in greenhouses for plants planted in pots.,english,maithili
अइसन तरह के सिंचाई प्रणाली ग्रीनहाउस में गमला में लगाओल पौधा में इस्तेमाल कयल जाइत छै।,maithili,english
Farmers can also sell their produce at the agricultural fair.,english,nepali
कृषि मेलामा किसानले आफ्नो उत्पादन पनि बेच्न सक्छन्।,nepali,english
Farmers can also sell their produce at the agricultural fair.,english,maithili
कृषि मेला में किसान अपना उत्पादन भी बेच सकैत छै।,maithili,english
M.S. Swaminathan is considered a world leader in the Green Revolution.,english,nepali
एम.एस. स्वामीनाथनलाई हरित क्रान्तिको विश्व नेता मानिन्छ।,nepali,english
M.S. Swaminathan is considered a world leader in the Green Revolution.,english,maithili
एम.एस. स्वामीनाथन के हरित क्रांति के विश्व नेता मानल जाइत छै।,maithili,english
The fiber obtained from the trunk of a tree is called natural fiber.,english,nepali
रूखको डाँठबाट प्राप्त फाइबरलाई प्राकृतिक फाइबर भनिन्छ।,nepali,english
The fiber obtained from the trunk of a tree is called natural fiber.,english,maithili
गाछ के डाँठ से मिलल फाइबर के प्राकृतिक फाइबर कहल जाइत छै।,maithili,english
"During the freedom struggle, the spinning wheel was a major weapon of the indigenous movement.",english,nepali
आजादीको लडाइँको बेलामा चरखा स्वदेशी आन्दोलनको एउटा प्रमुख हतियार थियो।,nepali,english
"During the freedom struggle, the spinning wheel was a major weapon of the indigenous movement.",english,maithili
आजादी के लड़ाई के समय में चरखा स्वदेशी आंदोलन के एकटा मुख्य हथियार छल।,maithili,english
Growing vegetables in water is the newest technology in agriculture.,english,nepali
पानीमा हुने तरकारीको खेती कृषिमा सबैभन्दा नयाँ प्रविधि हो।,nepali,english
Growing vegetables in water is the newest technology in agriculture.,english,maithili
पानी में होए वाला तरकारी के खेती कृषि में सब से नया तकनीक छै।,maithili,english
A lot of profit can be made in a short time from poultry farming.,english,nepali
कुखुरा पालनबाट थोरै समयमा धेरै नाफा कमाउन सकिन्छ।,nepali,english
A lot of profit can be made in a short time from poultry farming.,english,maithili
कुखुरा पालन से कम समय में बहुत मुनाफा कमायल जा सकैत छै।,maithili,english
"Date palm leaves are ten to fifteen feet long and very sharp, from which hand fans are made.",english,nepali
"खजूरको पात दशदेखि पन्ध्र फिटसम्म लामो र धेरै धारिलो हुन्छ, जसबाट हातको पंखा बनाइन्छ।",nepali,english
"Date palm leaves are ten to fifteen feet long and very sharp, from which hand fans are made.",english,maithili
"खजूर के पत्ता दस से पंद्रह फीट तक लंबा आउर बहुत धारदार होइत छै, जेकरा से हाथ के पंखा बनायल जाइत छै।",maithili,english
Raw papaya cleanses the body and improves digestion.,english,nepali
कच्चा मेवा शरीरलाई सफा गर्छ र पाचन बढाउँछ।,nepali,english
Raw papaya cleanses the body and improves digestion.,english,maithili
कच्चा मेवा शरीर के साफ करैत छै आउर पाचन बढ़ावैत छै।,maithili,english
"If hemp is to be cut for fiber, it should be cut before the seeds ripen.",english,nepali
"यदि रेशाको लागि भांग काट्नु छ भने, बीउ पाक्नुअघि नै काट्नुपर्छ।",nepali,english
"If hemp is to be cut for fiber, it should be cut before the seeds ripen.",english,maithili
"अगर रेशा के लेल भांग काटे के छै, तो बीज पाके से पहिले ही काटे के चाही।",maithili,english
Castor oil has many medicinal and industrial uses.,english,nepali
अरिंडीको तेलको धेरै औषधीय र औद्योगिक उपयोग छ।,nepali,english
Castor oil has many medicinal and industrial uses.,english,maithili
अरिंडी के तेल के बहुत औषधीय आउर औद्योगिक उपयोग छै।,maithili,english
Fisheries protect biodiversity by stopping the hunting of natural fish stocks.,english,nepali
मत्स्यपालनले माछाको प्राकृतिक भण्डारको शिकारमा रोक लगाएर जैविक विविधताको रक्षा गर्छ।,nepali,english
Fisheries protect biodiversity by stopping the hunting of natural fish stocks.,english,maithili
मछली पालन मछली के प्राकृतिक भंडार के शिकार पर रोक लगा के जैविक विविधता के रक्षा करैत छै।,maithili,english
Pomegranates are mostly grown in the tropical regions of the world.,english,nepali
अनार प्रायः संसारको गर्मी प्रदेशमा उब्जाउ गरिन्छ।,nepali,english
Pomegranates are mostly grown in the tropical regions of the world.,english,maithili
अनार प्रायः दुनिया के गर्मी वाला प्रदेश में उपजाओल जाइत छै।,maithili,english
Any farmer between the ages of eighteen and forty can register for this.,english,nepali
अठारदेखि चालीस वर्षको कुनै पनि किसानले यसको लागि दर्ता गर्न सक्छ।,nepali,english
Any farmer between the ages of eighteen and forty can register for this.,english,maithili
अठारह से चालीस साल के कोई भी किसान एकरा लेल पंजीकरण करा सकैत छै।,maithili,english
There's also a national agriculture market portal so farmers can sell their produce online.,english,nepali
किसानले आफ्नो उत्पादन अनलाइन बेच्न सकोस् भनेर राष्ट्रिय कृषि बजार पोर्टल पनि छ।,nepali,english
There's also a national agriculture market portal so farmers can sell their produce online.,english,maithili
"किसान अपना उत्पादन ऑनलाइन बेच सकै, एकरा लेल राष्ट्रीय कृषि बाजार पोर्टल भी छै।",maithili,english
Mace and nutmeg are two different spices that come from the nutmeg tree.,english,nepali
"जावित्री र जायफल दुईवटा फरक मसला हुन्, जुन जायफलको रुखबाट उत्पादन हुन्छ।",nepali,english
Mace and nutmeg are two different spices that come from the nutmeg tree.,english,maithili
"जावित्री आउर जायफल दुनु अलग-अलग मसाला छै, जे जायफल के गाछ से उत्पादन होइत छै।",maithili,english
Chicken harvesters are used to grab chickens for slaughter.,english,nepali
चिकन हार्भेस्टरको प्रयोग कुखुरालाई मार्नको लागि समात्न गरिन्छ।,nepali,english
Chicken harvesters are used to grab chickens for slaughter.,english,maithili
चिकन हार्वेस्टर के प्रयोग कुखुरा के मारे के लेल पकड़े के लेल कयल जाइत छै।,maithili,english
The wood of the Southern beech is a bit soft.,english,nepali
दक्षिणी ध्रुवको रुख अलि नरम हुन्छ।,nepali,english
The wood of the Southern beech is a bit soft.,english,maithili
दक्षिणी ध्रुव के गाछ थोड़ा नरम होइत छै।,maithili,english
Breeder seed is 100 percent physically and genetically pure for the production of foundation seed.,english,nepali
प्रजनक बीउ आधार बीउको उत्पादनको लागि शत प्रतिशत भौतिक र आनुवंशिक हुन्छ।,nepali,english
Breeder seed is 100 percent physically and genetically pure for the production of foundation seed.,english,maithili
प्रजनक बीज आधार बीज के उत्पादन के लेल शत प्रतिशत भौतिक आउर आनुवंशिक होइत छै।,maithili,english
"Milk by-products are butterfat, cream, yogurt, cheese, and buttermilk.",english,nepali
"दूधको उप उत्पादन बटरफ्याट, क्रिम, दही, पनीर र मोही हुन्।",nepali,english
"Milk by-products are butterfat, cream, yogurt, cheese, and buttermilk.",english,maithili
"दूध के उप उत्पाद बटरफैट, क्रीम, दही, पनीर आउर मोही होइत छै।",maithili,english
Another strategy is we should encourage farming that needs less water.,english,nepali
अर्को रणनीति भनेको कम पानी चाहिने खेतीलाई प्रोत्साहन गर्नुपर्छ।,nepali,english
Another strategy is we should encourage farming that needs less water.,english,maithili
दोसर रणनीति ई छै कि कम पानी चाही वाला खेती के बढ़ावा देवे के चाही।,maithili,english
Fruits don't rot quickly in the winter season.,english,nepali
जाडो मौसममा फलफूल चाँडै कुहिँदैन।,nepali,english
Fruits don't rot quickly in the winter season.,english,maithili
जाड़ के मौसम में फल जल्दी नई सड़ैत छै।,maithili,english
Growing food for local consumption is the core of tropical agriculture.,english,nepali
स्थानीय खपतका लागि खाद्यान्न उब्जाउनु उष्णकटिबंधीय खेतीको मूल हो।,nepali,english
Growing food for local consumption is the core of tropical agriculture.,english,maithili
स्थानीय खपत के लेल खाद्यान्न उपजाना उष्णकटिबंधीय खेती के मूल छै।,maithili,english
There's also a national agriculture market portal so farmers can sell their produce online.,english,nepali
किसानले आफ्नो उत्पादन अनलाइन बेच्न सकोस् भनेर राष्ट्रिय कृषि बजार पोर्टल पनि छ।,nepali,english
There's also a national agriculture market portal so farmers can sell their produce online.,english,maithili
"किसान अपना उत्पादन ऑनलाइन बेच सकै, एकरा लेल राष्ट्रीय कृषि बाजार पोर्टल भी छै।",maithili,english
