input_text,language
"कागज के मुख्य स्रोत गाछ, गोबर, घास आउर पानी होइत छै।",maithili
The farmer got investor loans very easily.,english
किसानलाई लगानीकर्ता ऋण एकदमै सजिलै प्राप्त भयो।,nepali
The farmer got investor loans very easily.,english
किसान के निवेशक ऋण बहुत आसानी से मिल गेल।,maithili
Growing marijuana for personal use is illegal.,english
व्यक्तिगत उपयोगको लागि भाङ खेती अवैध छ।,nepali
Growing marijuana for personal use is illegal.,english
व्यक्तिगत उपयोग के लेल भांग के खेती अवैध अछि।,maithili
"A mower is an agricultural tool, which is used to cut grass.",english
"मोवर एउटा कृषि औजार हो, जुन घाँस काट्नको लागि प्रयोग गरिन्छ।",nepali
"A mower is an agricultural tool, which is used to cut grass.",english
"मोवर एकटा कृषि औजार छै, जे घास काटे के लेल इस्तेमाल होइत छै।",maithili
Green manure also helps in controlling pests.,english
हरियो मलले कीरा नियन्त्रणमा पनि मद्दत गर्छ।,nepali
Green manure also helps in controlling pests.,english
हरियर खाद से कीड़ा के नियंत्रण में भी मदद मिलैत छै।,maithili
"A plow is an agricultural tool, which is used to plow fields.",english
"हर एउटा कृषि उपकरण हो, जसले खेत जोत्न काम लाग्छ।",nepali
"A plow is an agricultural tool, which is used to plow fields.",english
"हर एकटा कृषि उपकरण छै, जे खेत जोते के काम में आवैत छै।",maithili
Fisheries and its hunting are a major source of employment.,english
मत्स्य पालन र यसको शिकार रोजगारीको एउटा प्रमुख स्रोत हो।,nepali
Fisheries and its hunting are a major source of employment.,english
मछली पालन आउर एकर शिकार रोजगार के एकटा मुख्य स्रोत छै।,maithili
A sheep produces about thirty liters of methane gas per day.,english
एउटा भेडाले प्रतिदिन लगभग तीस लिटर मिथेन ग्यास उत्पादन गर्छ।,nepali
A sheep produces about thirty liters of methane gas per day.,english
एकटा भेंड़ा प्रतिदिन लगभग तीस लीटर मीथेन गैस पैदा करैत छै।,maithili
Farmer credit card facility has been provided to provide financial assistance to the farmer.,english
किसानलाई वित्तीय मद्दत पुर्‍याउन किसान क्रेडिट कार्डको सुविधा दिइएको छ।,nepali
Farmer credit card facility has been provided to provide financial assistance to the farmer.,english
किसान के वित्तीय मदद पहुचावे के लेल किसान क्रेडिट कार्ड के सुविधा देल गेल छै।,maithili
Milk pipelines should be checked from time to time.,english
दूधको पाइपलाइन समय समयमा जाँच गरिरहनुपर्छ।,nepali
Milk pipelines should be checked from time to time.,english
दूध के पाइपलाइन समय समय पर जाँच करत रहे के चाही।,maithili
Straw is collected as thatch for the whole year.,english
पराललाई वर्षभरिको लागि टालको रूपमा सङ्ग्रह गरिन्छ।,nepali
Straw is collected as thatch for the whole year.,english
पराल के साल भर के लेल टाल के रूप में जमा कयल जाइत छै।,maithili
Different breeds of goats can be found in different regions of India.,english
भारतको विभिन्न क्षेत्रमा अलग अलग जातका बाख्रा देख्न पाइन्छ।,nepali
Different breeds of goats can be found in different regions of India.,english
भारत के अलग-अलग क्षेत्र में अलग-अलग जात के बकरी देखे के मिलैत छै।,maithili
The farmer needed equipment for crop processing.,english
बाली प्रशोधनको लागि किसानलाई उपकरणको आवश्यकता थियो।,nepali
The farmer needed equipment for crop processing.,english
बाली के प्रोसेसिंग के लेल किसान के उपकरण के जरूरत छल।,maithili
"If production is higher than the cost price, the dividend is higher.",english
लागत मूल्यभन्दा बढी उत्पादन भएमा लाभांश अधिक हुन्छ।,nepali
"If production is higher than the cost price, the dividend is higher.",english
लागत मूल्य से ज्यादा उत्पादन होइ तो लाभांश ज्यादा होइत छै।,maithili
Nestle Institute is a famous coffee institute.,english
नेस्ले संस्थान कफीको एउटा प्रसिद्ध संस्थान हो।,nepali
Nestle Institute is a famous coffee institute.,english
नेस्ले संस्थान कॉफी के एकटा प्रसिद्ध संस्थान छै।,maithili
This machine is used in areas where there is less ridges and dust.,english
यो मेसिनको उपयोग त्यस्तो क्षेत्रमा गरिन्छ जहाँ आली र धूलो कम हुन्छ।,nepali
This machine is used in areas where there is less ridges and dust.,english
ई मशीन के उपयोग ओहि क्षेत्र में कयल जाइत छै जतय आली आउर धूल कम होइत छै।,maithili
Forestry is an important industrial sector in India.,english
वानिकी भारतको एउटा महत्त्वपूर्ण उद्योग क्षेत्र हो।,nepali
Forestry is an important industrial sector in India.,english
वानिकी भारत के एकटा महत्वपूर्ण उद्योग क्षेत्र छै।,maithili
Various dairy products were traded in the city.,english
शहरमा विभिन्न दुग्ध उत्पादनको व्यापार गरियो।,nepali
Various dairy products were traded in the city.,english
शहर में अलग-अलग दूध के उत्पाद के व्यापार कयल गेल।,maithili
You can get a lot of work done in a short time by using this machine.,english
यो मेसिन चलाएर थोरै समयमा धेरै काम सकिन्छ।,nepali
You can get a lot of work done in a short time by using this machine.,english
ई मशीन चला के कम समय में बहुत काम खत्म कयल जा सकैत छै।,maithili
He got dehydrated because he drank too much coffee.,english
धेरै कफी खाएकोले उहाँलाई डिहाइड्रेसन भयो।,nepali
He got dehydrated because he drank too much coffee.,english
बहुत कॉफी पीला के कारण ओकरा डिहाइड्रेशन भ गेल।,maithili
The weather department gave the government news of an emergency weather change.,english
मौसम विभागले आपतकालीन मौसम परिवर्तनको खबर सरकारलाई दियो।,nepali
The weather department gave the government news of an emergency weather change.,english
मौसम विभाग आपातकालीन मौसम परिवर्तन के खबर सरकार के देलक।,maithili
"In this greenhouse machine, the flow of air is artificially controlled.",english
यो ओसौनी मेसिनमा कृत्रिम तरिकाले हावाको प्रवाहलाई नियन्त्रण गरिन्छ।,nepali
"In this greenhouse machine, the flow of air is artificially controlled.",english
ई ओसौनी मशीन में कृत्रिम तरीका से हवा के प्रवाह के नियंत्रित कयल जाइत छै।,maithili
JCBs are very useful in the mining sector.,english
खनन क्षेत्रमा जेसिबीको उपयोगिता धेरै हुन्छ।,nepali
JCBs are very useful in the mining sector.,english
खनन क्षेत्र में जेसीबी के उपयोगिता बहुत होइत छै।,maithili
Both scissors and trimmers are used to cut sheep's wool.,english
भेडाको ऊन काट्न कैंची र ट्रीमर दुवै प्रयोग गरिन्छ।,nepali
Both scissors and trimmers are used to cut sheep's wool.,english
भेंड़ा के ऊन काटे के लेल कैंची आउर ट्रीमर दुनु के इस्तेमाल कयल जाइत छै।,maithili
This type of irrigation system is used in greenhouses for plants planted in pots.,english
यस्तो खालको सिंचाई प्रणाली ग्रीनहाउसमा गमलामा लगाएको बोटमा प्रयोग गरिन्छ।,nepali
This type of irrigation system is used in greenhouses for plants planted in pots.,english
अइसन तरह के सिंचाई प्रणाली ग्रीनहाउस में गमला में लगाओल पौधा में इस्तेमाल कयल जाइत छै।,maithili
Farmers can also sell their produce at the agricultural fair.,english
कृषि मेलामा किसानले आफ्नो उत्पादन पनि बेच्न सक्छन्।,nepali
Farmers can also sell their produce at the agricultural fair.,english
कृषि मेला में किसान अपना उत्पादन भी बेच सकैत छै।,maithili
M.S. Swaminathan is considered a world leader in the Green Revolution.,english
एम.एस. स्वामीनाथनलाई हरित क्रान्तिको विश्व नेता मानिन्छ।,nepali
M.S. Swaminathan is considered a world leader in the Green Revolution.,english
एम.एस. स्वामीनाथन के हरित क्रांति के विश्व नेता मानल जाइत छै।,maithili
The fiber obtained from the trunk of a tree is called natural fiber.,english
रूखको डाँठबाट प्राप्त फाइबरलाई प्राकृतिक फाइबर भनिन्छ।,nepali
The fiber obtained from the trunk of a tree is called natural fiber.,english
गाछ के डाँठ से मिलल फाइबर के प्राकृतिक फाइबर कहल जाइत छै।,maithili
"During the freedom struggle, the spinning wheel was a major weapon of the indigenous movement.",english
आजादीको लडाइँको बेलामा चरखा स्वदेशी आन्दोलनको एउटा प्रमुख हतियार थियो।,nepali
"During the freedom struggle, the spinning wheel was a major weapon of the indigenous movement.",english
आजादी के लड़ाई के समय में चरखा स्वदेशी आंदोलन के एकटा मुख्य हथियार छल।,maithili
Growing vegetables in water is the newest technology in agriculture.,english
पानीमा हुने तरकारीको खेती कृषिमा सबैभन्दा नयाँ प्रविधि हो।,nepali
Growing vegetables in water is the newest technology in agriculture.,english
पानी में होए वाला तरकारी के खेती कृषि में सब से नया तकनीक छै।,maithili
A lot of profit can be made in a short time from poultry farming.,english
कुखुरा पालनबाट थोरै समयमा धेरै नाफा कमाउन सकिन्छ।,nepali
A lot of profit can be made in a short time from poultry farming.,english
कुखुरा पालन से कम समय में बहुत मुनाफा कमायल जा सकैत छै।,maithili
"Date palm leaves are ten to fifteen feet long and very sharp, from which hand fans are made.",english
"खजूरको पात दशदेखि पन्ध्र फिटसम्म लामो र धेरै धारिलो हुन्छ, जसबाट हातको पंखा बनाइन्छ।",nepali
"Date palm leaves are ten to fifteen feet long and very sharp, from which hand fans are made.",english
"खजूर के पत्ता दस से पंद्रह फीट तक लंबा आउर बहुत धारदार होइत छै, जेकरा से हाथ के पंखा बनायल जाइत छै।",maithili
Raw papaya cleanses the body and improves digestion.,english
कच्चा मेवा शरीरलाई सफा गर्छ र पाचन बढाउँछ।,nepali
Raw papaya cleanses the body and improves digestion.,english
कच्चा मेवा शरीर के साफ करैत छै आउर पाचन बढ़ावैत छै।,maithili
"If hemp is to be cut for fiber, it should be cut before the seeds ripen.",english
"यदि रेशाको लागि भांग काट्नु छ भने, बीउ पाक्नुअघि नै काट्नुपर्छ।",nepali
"If hemp is to be cut for fiber, it should be cut before the seeds ripen.",english
"अगर रेशा के लेल भांग काटे के छै, तो बीज पाके से पहिले ही काटे के चाही।",maithili
Castor oil has many medicinal and industrial uses.,english
अरिंडीको तेलको धेरै औषधीय र औद्योगिक उपयोग छ।,nepali
Castor oil has many medicinal and industrial uses.,english
अरिंडी के तेल के बहुत औषधीय आउर औद्योगिक उपयोग छै।,maithili
Fisheries protect biodiversity by stopping the hunting of natural fish stocks.,english
मत्स्यपालनले माछाको प्राकृतिक भण्डारको शिकारमा रोक लगाएर जैविक विविधताको रक्षा गर्छ।,nepali
Fisheries protect biodiversity by stopping the hunting of natural fish stocks.,english
मछली पालन मछली के प्राकृतिक भंडार के शिकार पर रोक लगा के जैविक विविधता के रक्षा करैत छै।,maithili
Pomegranates are mostly grown in the tropical regions of the world.,english
अनार प्रायः संसारको गर्मी प्रदेशमा उब्जाउ गरिन्छ।,nepali
Pomegranates are mostly grown in the tropical regions of the world.,english
अनार प्रायः दुनिया के गर्मी वाला प्रदेश में उपजाओल जाइत छै।,maithili
Any farmer between the ages of eighteen and forty can register for this.,english
अठारदेखि चालीस वर्षको कुनै पनि किसानले यसको लागि दर्ता गर्न सक्छ।,nepali
Any farmer between the ages of eighteen and forty can register for this.,english
अठारह से चालीस साल के कोई भी किसान एकरा लेल पंजीकरण करा सकैत छै।,maithili
There's also a national agriculture market portal so farmers can sell their produce online.,english
किसानले आफ्नो उत्पादन अनलाइन बेच्न सकोस् भनेर राष्ट्रिय कृषि बजार पोर्टल पनि छ।,nepali
There's also a national agriculture market portal so farmers can sell their produce online.,english
"किसान अपना उत्पादन ऑनलाइन बेच सकै, एकरा लेल राष्ट्रीय कृषि बाजार पोर्टल भी छै।",maithili
Mace and nutmeg are two different spices that come from the nutmeg tree.,english
"जावित्री र जायफल दुईवटा फरक मसला हुन्, जुन जायफलको रुखबाट उत्पादन हुन्छ।",nepali
Mace and nutmeg are two different spices that come from the nutmeg tree.,english
"जावित्री आउर जायफल दुनु अलग-अलग मसाला छै, जे जायफल के गाछ से उत्पादन होइत छै।",maithili
Chicken harvesters are used to grab chickens for slaughter.,english
चिकन हार्भेस्टरको प्रयोग कुखुरालाई मार्नको लागि समात्न गरिन्छ।,nepali
Chicken harvesters are used to grab chickens for slaughter.,english
चिकन हार्वेस्टर के प्रयोग कुखुरा के मारे के लेल पकड़े के लेल कयल जाइत छै।,maithili
The wood of the Southern beech is a bit soft.,english
दक्षिणी ध्रुवको रुख अलि नरम हुन्छ।,nepali
The wood of the Southern beech is a bit soft.,english
दक्षिणी ध्रुव के गाछ थोड़ा नरम होइत छै।,maithili
Breeder seed is 100 percent physically and genetically pure for the production of foundation seed.,english
प्रजनक बीउ आधार बीउको उत्पादनको लागि शत प्रतिशत भौतिक र आनुवंशिक हुन्छ।,nepali
Breeder seed is 100 percent physically and genetically pure for the production of foundation seed.,english
प्रजनक बीज आधार बीज के उत्पादन के लेल शत प्रतिशत भौतिक आउर आनुवंशिक होइत छै।,maithili
"Milk by-products are butterfat, cream, yogurt, cheese, and buttermilk.",english
"दूधको उप उत्पादन बटरफ्याट, क्रिम, दही, पनीर र मोही हुन्।",nepali
"Milk by-products are butterfat, cream, yogurt, cheese, and buttermilk.",english
"दूध के उप उत्पाद बटरफैट, क्रीम, दही, पनीर आउर मोही होइत छै।",maithili
Another strategy is we should encourage farming that needs less water.,english
अर्को रणनीति भनेको कम पानी चाहिने खेतीलाई प्रोत्साहन गर्नुपर्छ।,nepali
Another strategy is we should encourage farming that needs less water.,english
दोसर रणनीति ई छै कि कम पानी चाही वाला खेती के बढ़ावा देवे के चाही।,maithili
Fruits don't rot quickly in the winter season.,english
जाडो मौसममा फलफूल चाँडै कुहिँदैन।,nepali
Fruits don't rot quickly in the winter season.,english
जाड़ के मौसम में फल जल्दी नई सड़ैत छै।,maithili
Growing food for local consumption is the core of tropical agriculture.,english
स्थानीय खपतका लागि खाद्यान्न उब्जाउनु उष्णकटिबंधीय खेतीको मूल हो।,nepali
Growing food for local consumption is the core of tropical agriculture.,english
स्थानीय खपत के लेल खाद्यान्न उपजाना उष्णकटिबंधीय खेती के मूल छै।,maithili
There's also a national agriculture market portal so farmers can sell their produce online.,english
किसानले आफ्नो उत्पादन अनलाइन बेच्न सकोस् भनेर राष्ट्रिय कृषि बजार पोर्टल पनि छ।,nepali
There's also a national agriculture market portal so farmers can sell their produce online.,english
"किसान अपना उत्पादन ऑनलाइन बेच सकै, एकरा लेल राष्ट्रीय कृषि बाजार पोर्टल भी छै।",maithili
